Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
ERR675523_metabat_04	98.87	0.19	0.0	43	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	41.869120068499996	4.691706	3899	0.900693692231	ERR675523
ERR675523_metabat_05_sub	0.0	0.0	0.0	0	0			unresolved	47.345824543999996	0.040295	46	0.888398064276	ERR675523
ERR675523_metabat_06	97.04	4.21	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	51.001318975299995	3.7578769999999997	3377	0.8807265378829999	ERR675523
ERR675523_metabat_08	94.46	2.49	71.43	38	2	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.8478884875	3.748396	3496	0.9031831215270001	ERR675523
ERR675523_metabat_09	96.43	0.48	0.0	43	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	48.5756421752	2.584257	2167	0.903018933488	ERR675523
ERR675523_metabat_10	94.49	0.39	100.0	43	0	UID398	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_johnsonii	unresolved	34.288053746399996	1.730941	1661	0.8795562644830001	ERR675523
ERR675523_metabat_11_sub	97.13	1.47	0.0	43	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	43.8397046854	3.902431	3791	0.87620178294	ERR675523
ERR675523_metabat_15_sub	66.86	14.51	8.45	36	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.6425830388	7.398880999999999	8356	0.8816116923630001	ERR675523
ERR675523_metabat_16	74.55	0.54	0.0	41	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.7031511114	2.293694	2152	0.908331712949	ERR675523
ERR675523_metabat_17_sub	91.23	8.45	28.0	22	18	UID1277	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Coprococcus;s__Coprococcus_comes	40.1042512066	3.4230150000000004	3412	0.8862111325830001	ERR675523
ERR675523_metabat_18_sub	78.6	0.0	0.0	18	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.2148909364	3.12318	3098	0.893826164358	ERR675523
ERR675523_metabat_20	77.85	0.27	100.0	37	2	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	61.0631887104	2.176768	2282	0.88618125588	ERR675523
ERR675523_metabat_21	87.59	1.53	20.0	20	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	46.3460666705	2.269786	2125	0.9178490835700001	ERR675523
ERR675523_metabat_22_sub	2.11	0.0	0.0	1	0	UID3195	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae	g__Thermodesulfovibrio	48.785675533500005	0.48684499999999997	506	0.8218180324330001	ERR675523
ERR675523_metabat_23	49.68	5.09	21.43	14	1	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.9533931104	2.399409	2893	0.8818984174850001	ERR675523
ERR675523_metabat_25	81.07	1.43	20.0	38	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	50.904356811499994	2.9898290000000003	2809	0.878510443239	ERR675523
ERR675523_metabat_26_sub	58.13	4.75	10.0	13	0	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	54.2752179816	2.815197	3443	0.870160773829	ERR675523
ERR675523_metabat_27	78.61	4.46	31.25	27	2	UID1279	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_scindens	48.1121487661	2.540075	2548	0.905959469701	ERR675523
ERR675523_metabat_28	69.23	0.67	0.0	36	0	UID1236	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Anaerotruncus;s__Anaerotruncus_colihominis	59.7212823469	1.8466490000000002	2081	0.8625250385969999	ERR675523
ERR675523_metabat_29	66.48	0.0	0.0	37	0	UID3809	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	unresolved	51.4320647116	0.711018	807	0.88941067596	ERR675523
ERR675523_metabat_30_sub	0.0	0.0	0.0	0	0			unresolved	52.727773854	0.058209000000000004	49	0.7895170849869999	ERR675523
ERR675523_metabat_31_sub	23.89	0.0	0.0	11	0	UID1277	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Dorea;s__Dorea_longicatena	48.937967977700005	0.678686	761	0.898878126262	ERR675523
ERR675523_metabat_32_sub	4.17	0.0	0.0	0	0			unresolved	49.1461061301	0.388943	461	0.859719804701	ERR675523
ERR675523_metabat_33_sub	2.79	0.0	0.0	2	0	UID1293	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	38.8079473285	0.8611700000000001	1089	0.881828210458	ERR675523
ERR675523_metabat_34	63.01	0.44	25.0	33	2	UID2379	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_spiroforme	30.917741729499998	1.099781	1061	0.9122179779430001	ERR675523
ERR675523_metabat_35	47.62	0.19	0.0	16	0	UID2675	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_intestinalis	43.0971497066	2.544765	2538	0.8993797069670001	ERR675523
ERR675523_metabat_36_sub	33.21	1.75	100.0	8	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	46.6133271296	1.320354	1585	0.879833741557	ERR675523
ERR675523_metabat_39_sub	29.96	0.0	0.0	12	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	52.2394533912	0.7172609999999999	689	0.905926852289	ERR675523
ERR675523_metabat_40_sub	0.0	0.0	0.0	0	0			unresolved	52.3746357749	0.134828	154	0.8757676447030001	ERR675523
ERR675523_metabat_41_sub	8.62	0.0	0.0	1	0	UID1234	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_leptum	41.2458790751	0.090567	100	0.926010577804	ERR675523
ERR675523_metabat_42	25.6	0.0	0.0	23	0	UID3189	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	unresolved	34.5643860017	0.383164	429	0.925984695848	ERR675523
ERR675523_metabat_43_sub	9.41	0.0	0.0	3	0	UID1295	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.0432745783	0.6140100000000001	758	0.922323740656	ERR675523
ERR675524_maxbin_01_sub	0.0	0.0	0.0	0	0			unresolved	61.1385831076	0.040406	47	0.922882740187	ERR675524
ERR675524_maxbin_03	92.74	0.0	0.0	42	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.8639158505	2.6293290000000002	2133	0.8922534988959999	ERR675524
ERR675524_maxbin_04_sub	1.96	0.0	0.0	7	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.2714162014	0.06700199999999999	66	0.940554013313	ERR675524
ERR675524_maxbin_06	62.48	0.0	0.0	30	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	52.423236251400006	1.766489	1500	0.924849234838	ERR675524
ERR675524_maxbin_08_sub	17.48	0.0	0.0	8	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.7461998143	0.5533100000000001	694	0.901814534348	ERR675524
ERR675524_maxbin_10_sub	56.71	7.61	0.0	30	5	UID3188	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	f__Deferribacteraceae	35.640870933	1.436446	1495	0.9263369454889999	ERR675524
ERR675524_maxbin_11_sub	54.03	3.12	10.0	24	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	59.682179481300004	1.14137	1174	0.912504271183	ERR675524
ERR675524_maxbin_12_sub	9.48	0.0	0.0	4	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	49.308383086199996	0.142491	187	0.8864630046809999	ERR675524
ERR675524_maxbin_14_sub	2.09	0.0	0.0	11	0	UID1422	k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis;g__Caldicellulosiruptor;s__Caldicellulosiruptor_kristjanssonii	48.191588234499996	0.22968000000000002	183	0.933568443051	ERR675524
ERR675524_maxbin_16	0.0	0.0	0.0	0	0			unresolved	52.395441140200006	0.11766099999999999	125	0.8421567044310001	ERR675524
ERR675524_maxbin_19_sub	84.48	41.49	17.39	26	14	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.0970336874	3.495565	3217	0.9256492155060001	ERR675524
ERR675524_maxbin_20_sub	95.86	10.82	56.52	25	17	UID2675	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_intestinalis	42.649256983	6.759503	5474	0.9060084742919999	ERR675524
ERR675524_maxbin_22_sub	31.35	1.72	100.0	2	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	59.4084025009	1.630584	1865	0.902233187619	ERR675524
ERR675524_maxbin_23	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.658107889300005	2.7367049999999997	2303	0.881388019534	ERR675524
ERR675524_maxbin_24_sub	6.29	0.71	0.0	11	6	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.2137645164	0.9826520000000001	1118	0.8889983432590001	ERR675524
ERR675524_maxbin_25	79.25	0.38	0.0	40	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	51.1254345116	2.042951	1765	0.9107614426389999	ERR675524
ERR675524_metabat_04	97.61	1.26	0.0	43	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	51.8517142021	3.256249	2722	0.900488568288	ERR675524
ERR675524_metabat_05	98.72	1.51	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.1351368911	2.4632680000000002	2168	0.914989355604	ERR675524
ERR675524_metabat_07	98.79	0.0	0.0	42	0	UID2130	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	g__Olsenella;s__Atopobium_vaginae	58.807430179899995	1.9741849999999999	1637	0.862198831417	ERR675524
ERR675524_metabat_08_sub	17.24	0.0	0.0	3	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	45.661545595	0.500351	456	0.915697180579	ERR675524
ERR675524_metabat_10_sub	33.99	0.38	0.0	29	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.9836815617	1.1348719999999999	966	0.9246038319740001	ERR675524
ERR675524_metabat_11_sub	7.02	0.0	0.0	1	0	UID1779	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Salinispora;s__Salinispora_arenicola	s__Salinispora_pacifica	46.9005149492	0.102146	95	0.859367963503	ERR675524
ERR675524_metabat_12	86.81	0.0	0.0	43	0	UID3809	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	unresolved	51.6032921022	0.877459	888	0.891808050291	ERR675524
ERR675524_metabat_13	98.02	1.32	0.0	23	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	41.738925598200005	4.60764	3840	0.899915792032	ERR675524
ERR675524_metabat_14	95.28	2.29	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	54.7199776838	2.151025	2054	0.870091700468	ERR675524
ERR675524_metabat_15	95.27	1.01	0.0	40	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	53.377973688900006	2.600123	2037	0.87164030317	ERR675524
ERR675524_metabat_16	97.73	0.63	100.0	43	0	UID4183	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	f__;g__;s__	48.7603197039	2.357785	2213	0.892204335849	ERR675524
ERR675524_metabat_17_sub	6.9	0.0	0.0	1	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.5730315889	0.265538	246	0.902906551981	ERR675524
ERR675524_metabat_18_sub	93.95	3.33	0.0	25	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.132192503599995	2.980632	2407	0.8851102719149999	ERR675524
ERR675524_metabat_19	95.87	1.6	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.8047428814	3.4046230000000004	3293	0.883378570843	ERR675524
ERR675524_metabat_20_sub	71.03	0.0	0.0	8	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	46.024695289600004	2.929615	2486	0.9220395854060001	ERR675524
ERR675524_metabat_21	0.36	0.0	0.0	1	0	UID3172	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	f__Aquificaceae	49.3481449882	0.45967600000000003	451	0.8168492590430001	ERR675524
ERR675524_metabat_22	95.71	1.18	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.9564409051	1.9755049999999998	1821	0.906902285745	ERR675524
ERR675524_metabat_23_sub	0.0	0.0	0.0	0	0			unresolved	45.4687625311	0.049876	51	0.887922046676	ERR675524
ERR675524_metabat_24	86.96	0.0	0.0	43	0	UID1119	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	34.2692079512	1.507509	1289	0.8904225447409999	ERR675524
ERR675524_metabat_25_sub	47.32	0.0	0.0	29	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.9856552043	1.735912	1967	0.905382876551	ERR675524
ERR675524_metabat_26	76.84	0.54	60.0	38	4	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	58.1392830552	1.5661049999999999	1460	0.8912716580310001	ERR675524
ERR675524_metabat_27	68.96	0.48	0.0	36	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	49.542834606599996	1.7172319999999999	1662	0.91974235281	ERR675524
ERR675524_metabat_28	41.36	1.03	0.0	23	1	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	49.1625797173	0.806285	801	0.913502049523	ERR675524
ERR675524_metabat_29_sub	45.15	0.19	0.0	26	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	61.333276114700006	1.311228	1251	0.920216773894	ERR675524
ERR675524_metabat_30_sub	8.62	0.0	0.0	1	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	49.9415032787	0.518702	500	0.906578343635	ERR675524
ERR675524_metabat_31	58.12	0.29	0.0	35	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	40.9295940115	2.222892	2402	0.909182272463	ERR675524
ERR675524_metabat_34_sub	3.64	0.0	0.0	1	0	UID2502	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales	f__Spirochaetaceae	36.445658472	0.072588	64	0.889802722213	ERR675524
ERR675524_metabat_35_sub	19.66	0.0	0.0	1	0	UID2669	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	unresolved	48.6245238376	0.857957	896	0.921286264929	ERR675524
ERR675524_metabat_37_sub	3.45	0.0	0.0	1	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	43.96260615439999	0.189613	186	0.9452727397380001	ERR675524
ERR675525_maxbin_01	68.44	1.35	0.0	13	0	UID2645	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	g__Parabacteroides;s__Parabacteroides_merdae	51.7334995521	1.81417	1644	0.9035404620290001	ERR675525
ERR675525_maxbin_03_sub	3.1	0.0	0.0	1	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	58.9082698728	0.528412	583	0.926284792927	ERR675525
ERR675525_maxbin_06	91.95	13.46	0.0	41	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	52.0983486365	4.5362290000000005	4263	0.8895229936579999	ERR675525
ERR675525_maxbin_07_sub	11.68	1.61	0.0	11	1	UID2803	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	unresolved	44.012682813000005	0.789883	778	0.899782626034	ERR675525
ERR675525_maxbin_08	95.4	0.43	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.3578450993	4.286029	4180	0.881025770008	ERR675525
ERR675525_maxbin_09_sub	12.2	0.58	0.0	7	1	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	52.2521241912	0.874916	984	0.909802769637	ERR675525
ERR675525_maxbin_10_sub	11.6	0.63	25.0	8	3	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	40.3984300289	0.44268	566	0.869090539442	ERR675525
ERR675525_maxbin_11	80.04	0.78	33.33	39	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.812870941199996	2.184214	1914	0.907202316257	ERR675525
ERR675525_maxbin_12_sub	8.78	1.41	22.22	3	7	UID398	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_johnsonii	unresolved	40.7213303452	0.11471400000000001	132	0.923461826804	ERR675525
ERR675525_maxbin_14_sub	58.0	14.38	0.0	24	1	UID1236	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Anaerotruncus;s__Anaerotruncus_colihominis	59.2783531516	2.551335	3195	0.885692784366	ERR675525
ERR675525_maxbin_15_sub	10.34	0.0	0.0	9	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.4517960326	0.138435	109	0.907617293315	ERR675525
ERR675525_maxbin_16	96.55	11.46	52.0	26	17	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.7146991949	2.121053	2032	0.8789643634550001	ERR675525
ERR675525_maxbin_17_sub	2.07	0.0	0.0	2	0	UID1213	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	unresolved	34.295434487600005	0.422187	482	0.857743132782	ERR675525
ERR675525_maxbin_19_sub	10.66	0.0	0.0	9	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	52.8550353487	0.156776	119	0.939212634587	ERR675525
ERR675525_maxbin_20_sub	1.75	0.0	0.0	2	0	UID1293	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	48.9019812078	0.092252	95	0.9036660451809999	ERR675525
ERR675525_maxbin_21_sub	0.0	0.0	0.0	0	0			unresolved	46.3496753358	0.262839	321	0.904325461594	ERR675525
ERR675525_maxbin_22_sub	3.51	0.0	0.0	1	0	UID1248	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	45.8280927478	0.166599	202	0.8405392589390001	ERR675525
ERR675525_metabat_01	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.62322992399999	2.757781	2343	0.8856268862540001	ERR675525
ERR675525_metabat_02_sub	8.77	0.0	0.0	1	0	UID1295	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.3864058091	0.428568	395	0.884018405481	ERR675525
ERR675525_metabat_06	96.43	0.48	0.0	43	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	48.4466988808	2.6463509999999997	2225	0.902630074393	ERR675525
ERR675525_metabat_07	98.5	0.19	0.0	43	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	42.0118147887	4.605544999999999	3802	0.900463245935	ERR675525
ERR675525_metabat_09_sub	13.79	0.0	0.0	3	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	45.13629842180001	0.393805	358	0.91823872221	ERR675525
ERR675525_metabat_10_sub	88.99	1.01	0.0	39	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	46.1005312404	2.5616060000000003	2347	0.916095215267	ERR675525
ERR675525_metabat_11	98.17	0.52	0.0	35	0	UID540	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_3;g__Lactobacillus_3	f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_animalis	40.2013767508	1.893471	1864	0.885305874767	ERR675525
ERR675525_metabat_12	85.63	0.75	0.0	21	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	48.743158228199995	2.173085	1903	0.918863735197	ERR675525
ERR675525_metabat_13	92.36	1.89	16.67	30	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.171179945	2.4095419999999996	2178	0.914794595819	ERR675525
ERR675525_metabat_14_sub	88.37	3.8	0.0	41	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	44.100935498199995	3.997158	4143	0.8809068843410001	ERR675525
ERR675525_metabat_16	88.6	18.59	1.41	36	0	UID1267	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	40.2249597196	4.9223349999999995	5415	0.888504541036	ERR675525
ERR675525_metabat_17_sub	77.4	0.0	0.0	40	1	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	61.0854705736	2.086007	2176	0.888369022731	ERR675525
ERR675525_metabat_18_sub	71.02	1.97	25.0	41	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	52.545313331	2.611811	2649	0.8897726520029999	ERR675525
ERR675525_metabat_19	94.31	1.18	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	41.277454301999995	1.8821	1771	0.9073800541949999	ERR675525
ERR675525_metabat_20	79.88	1.75	0.0	26	1	UID1278	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Dorea;s__Dorea_longicatena	48.850914222700005	2.442787	2534	0.9112775694320001	ERR675525
ERR675525_metabat_23_sub	0.36	0.0	0.0	1	0	UID3172	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	f__Aquificaceae	48.7610027758	0.345922	382	0.8317337434450001	ERR675525
ERR675525_metabat_24_sub	48.47	1.9	0.0	19	0	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	48.0061869791	2.872302	3225	0.8977945216069999	ERR675525
